Latin	English	Arabic	Chinese	Czech	Estonian	Finnish	French	German	Greek	Hebrew	Italian	Japanese	Korean	Marathi	Persian	Polish	Portugese	Russian	Spanish	Swedish	Turkish	Ukranian
Sagitta	Arrow	السهم	天箭座	Šíp	Nool	Nuoli	Flèche	Pfeil	Βέλος	חץ	Freccia	や座	화살자리	शर	پیکان	Strzała	Flecha	Стрела	Flecha, Saeta	Pilen	Okçuk	Стріла
Sagittarius	Archer	الرامي	人馬座	Střelec	Ambur	Jousimies	Sagittaire	Schütze	Τοξότης	קשת	Sagittario	いて座	궁수자리	धनु	نیم‌اسب	Strzelec	Sagitário	Стрелец	Sagitario, Arquero	Skytten	Yay	Стрілець
Scorpius	Scorpion	العقرب	天蠍座	Štír	Skorpion	Skorpioni	Scorpion	Skorpion	Σκορπιός	עקרב	Scorpione	さそり座	전갈자리	वृश्चिक	کَژدُم	Skorpion	Escorpião	Скорпион	Escorpio, Escorpión	Skorpionen	Akrep	Скорпіон
Sculptor	Sculptor	معمل النحات	玉夫座	Sochař	Kujur	Kuvan-veistäjä	Sculpteur	Bildhauer	Γλύπτης	פסל	Scultore	ちょうこくしつ座	조각가자리	पाषाणकुट्टक	سنگ‌تراش	Rzeźbiarz	Escultor	Скульптор	Escultor	Bildhuggaren	Heykeltraş	Скульптор
Scutum	Shield	الترس	盾牌座	Štít	Kilp	Kilpi	Écu de Sobieski	Schild	Ασπίς	מגן	Scudo	たて座	방패자리	फलक	سِپَر	Tarcza	Escudo	Щит	Escudo	Sobieskis sköld	Kalkan	Щит
Serpens	Serpent	الحية	巨蛇座 (头)	Had	Madu	Käärme	Serpent	Schlange	Όφις	נחש	Serpente	へび座	뱀자리	भुजंग	افعی	Wąż	Serpente	Змея	Serpiente	Ormen	Yılan	Змія
Sextans	Sextant	السدس	六分儀座	Sextant	Sekstant	Sekstantti	Sextant	Sextant	Εξάς	סקסטנט	Sestante	ろくぶんぎ座	육분의자리	षडंश	سِکِستان	Sekstant	Sextante	Секстант	Sextante	Sextanten	Altılık	Секстант
Taurus	Bull	الثور	金牛座	Býk	Sõnn	Härkä	Taureau	Stier	Ταύρος	שור	Toro	おうし座	황소자리	वृषभ	گاو	Byk	Touro	Телец	Tauro, Toro	Oxen	Boğa	Телець
Telescopium	Telescope	المرقب	望遠鏡座	Dalekohled	Teleskoop	Kaukoputki	Télescope	Teleskop	Τηλεσκόπιον	טלסקופ	Telescopio	ぼうえんきょう座	망원경자리	दूरदर्शी	تِلِسکوپ	Teleskop	Telescópio	Телескоп	Telescopio	Kikaren	Dürbün	Телескоп
Triangulum	Triangle	المثلث	三角座	Trojúhelník	Kolmnurk	Kolmio	Triangle	Dreieck	Τρίγωνον	משולש	Triangolo	さんかく座	삼각형자리	त्रिकोण	سه‌گوش	Trójkąt	Triângulo	Треугольник	Triángulo	Triangeln	Üçgen	Трикутник
Triangulum Australe	Southern Triangle	المثلث الجنوبي	南三角座	Jižní trojúhelník	Lõunakolmnurk	Etelän kolmio	Triangle Austral	Südliches Dreieck	Τρίγωνον Νότιον	משולש צפוני	Triangolo Australe	みなみのさんかく座	남쪽삼각형자리	दक्षिण त्रिकोण	سه‌گوشِ جنوبی	Trójkąt Południowy	Triângulo Austral	Южный Треугольник	Triángulo Austral	Södra triangeln	Güney Üçgeni	Південний Трикутник
Tucana	Toucan	الطوقان	杜鵑座	Tukan	Tuukan	Tukaani	Toucan	Tukan	Τουκάνα	טוקאן	Tucano	きょしちょう座	큰부리새자리	कारंडव	توکایی	Tukan	Tucano	Тукан	Tucán	Tukanen	Tukan	Тукан
Ursa Maior	Big Dipper, Great Bear, Plough	الدب الأكبر	大熊座	Velká medvědice	Suur Vanker	Iso karhu	Grande Ourse	Großer Bär	Άρκτος Μεγάλη	הדובה הגדולה	Orsa Maggiore	おおぐま座	큰곰자리	सप्तर्षी	خِرسِ مِهتَر	Wielka Niedźwiedzica	Ursa Maior	Большая Медведица	Osa Mayor	Stora björnen	Büyük Ayı	Велика Ведмедиця
Ursa Minor	Little Bear, Little Dipper	الدب الأصغر	小熊座	Malý medvěd	Väike Vanker	Pieni karhu	Petite Ourse	Kleiner Bär	Άρκτος Μικρή	הדובה הקטנה	Orsa Minore	こぐま座	작은곰자리	लघु ऋक्ष	خِرسِ کِهتَر	Mała Niedźwiedzica	Ursa Menor	Малая Медведица	Osa Pequeño, Osa Menor	Lilla björnen	Küçük Ayı	Мала Ведмедиця
Vela	Sails	الشجاع	船帆座	Plachty	Purjed	Purje	Voiles	Segel	Ιστία	מפרש	Vela	ほ座	돛자리	नौ-शीर्ष	بادبان‌ها	Żagiel	Vela	Паруса	Velamen	Seglet	Yelken	Паруси
Virgo	Virgin	العذراء	處女座	Panna	Neitsi	Neitsyt	Vierge	Jungfrau	Παρθένος	בתולה	Vergine	おとめ座	처녀자리	कन्या	خوشه	Panna	Virgem	Дева	Virgen	Jungfrun	Başak	Діва
Volans	Flying Fish	السمكة الطائرة	飛鱼座	Létající ryba	Lendkala	Lentokala	Poisson Volant	Fliegender Fisch	Ιχθύς Ιπτάμενος	דג מעופף	Pesce volante	とびうお座	날치자리	तिमि	ماهیِ پرنده	Ryba Latająca	Peixe Voador	Летучая Рыба	Pez Volador	Flygfisken	Uçanbalık	Летюча Риба
Vulpecula	Little Fox	الثعلب	狐狸座	Lištička	Rebane	Kettu	Petit Renard	Fuchs	Αλώπηξ	שועלון	Volpetta	こぎつね座	작은여우자리	जंबुक	روباه	Lisek	Raposa	Лисичка	Zorro	Räven	Tilkicik	Лисичка
